"event_type","user_id","episode_id","timestamp","duration"
"play","usr_e1575c8381","epi_5081948a0d","2025-10-15T11:39:57","2102"
"complete","usr_89e3ea025b","epi_ee8c7011d5","2025-10-11T13:33:08","2410"
"seek","usr_9abe85773d","epi_cc1c0fce21","2025-09-27T14:05:49",""
"seek","usr_5775be6e38","epi_8985cbbaef","2025-12-03T11:26:56",""
"pause","usr_450f17a33e","epi_0087ad003a","2025-07-26T23:37:08",""
"pause","usr_6130e5d000","epi_1960247f80","2025-11-03T07:29:48",""
"play","usr_3c2e47ce18","epi_aa5ff8789c","2025-11-20T21:53:48","1848"
"seek","usr_f7faf46313","epi_7b68a0f8ca","2025-02-21T05:35:28",""
"complete","usr_9aab146109","epi_064d581ad2","2025-09-10T00:40:38","10154"
"play","usr_bef9a45f59","epi_be5f337284","2026-01-19T22:26:52","2059"
"pause","usr_19070e6e0f","epi_c299a17f5a","2025-09-10T11:11:30",""
"complete","usr_bebf6b6d3d","epi_22d5608727","2025-09-11T03:29:49","19447"
"","usr_a947db40fa","epi_7304dc859f","2026-01-20T13:48:35","1386"
"complete","usr_1af2fa6d7f","epi_5a58e1e286","2025-03-18T18:10:48","10755"
"seek","usr_fbeee74e9f","epi_093cc7c56e","2025-02-25T07:35:38",""
"play","usr_b91f4b1c49","epi_05fa3c96f9","2025-11-10T04:02:38","4116"
"complete","usr_a92a999985","epi_145f3317fe","2025-08-13T01:13:58","1688"
"seek","usr_7bdc501b6f","epi_fe1c9050b2","2025-11-08T16:23:31",""
"play","usr_258cfa779e","epi_6a59a21550","2026-01-29T19:02:50","4672"
"pause","usr_da945d234f","epi_783e510aec","2026-01-13T21:17:04",""
"complete","usr_3fbde254c4","epi_57ebf9acaf","2026-02-03T12:59:44","12786"
"pause","usr_ef41833bb7","epi_c1e35bedf3","2025-05-18T14:54:54",""
"pause","usr_eba23daeb3","epi_1229fc565f","2025-08-29T06:23:58",""
"complete","usr_4d256e4acf","epi_0e6fc5fdc2","2026-02-09T20:29:33","2760"
"play","usr_61499df046","epi_145f3317fe","2025-08-10T08:12:54","8548"
"pause","usr_3e16c37a3a","epi_8985cbbaef","2025-09-10T17:15:59",""
"seek","usr_4e5a277885","epi_5b078ce15d","2025-09-09T10:31:41",""
"play","usr_973a579e01","epi_9c4260dbfb","2026-02-27T12:36:22","947"
"seek","usr_0873b1f518","epi_d1fd1fa9d6","2025-12-09T00:21:06",""
"complete","usr_96f6a61af7","epi_7b68a0f8ca","2026-02-23T00:05:14","1781"
"complete","usr_4bb8738d27","epi_f9a407e18e","2025-11-25T23:41:18","1122"
"seek","usr_96f6a61af7","epi_7b68a0f8ca","2025-12-25T00:07:24",""
"seek","usr_09504af238","epi_a9b58221ab","2025-11-11T17:48:17",""
"seek","usr_59b510497b","epi_f0fbcc106d","2025-05-12T20:56:44",""
"complete","usr_7dcb7f68e3","epi_a9ada448c6","2025-02-20T11:51:33","31924"
"pause","usr_b616c164d9","epi_22d5608727","2025-01-23T08:13:48",""
"complete","usr_a6b814b108","epi_df3c907e26","2025-06-17T14:52:18","35237"
"pause","usr_a6b814b108","epi_5a511fee18","2025-06-12T19:44:24",""
"complete","usr_0e62583305","epi_1960247f80","2025-01-28T01:15:03","835"
"pause","usr_0937fbfbde","epi_93c1db10e7","2025-07-31T07:12:02",""
"complete","usr_b64643f467","epi_7c270d65b5","2026-01-12T13:52:48","1108"
"seek","usr_7f3420bdbe","epi_d952ff83c5","2026-02-13T02:08:41",""
"play","usr_87e6c4f7bd","epi_7ad581ca2e","2025-12-23T11:52:42","1445"
"seek","usr_2549b15396","epi_df3c907e26","2025-09-29T11:34:35",""
"pause","usr_42d79ec20a","epi_93c1db10e7","2025-03-05T07:08:58",""
"pause","usr_0937fbfbde","epi_93634437fe","2025-09-21T08:51:49",""
"complete","usr_6130e5d000","epi_1bcf507eab","2025-04-23T10:22:04","919"
"play","usr_5685c7545e","epi_78bb8b6d5c","2025-12-12T19:55:46","1224"
"complete","usr_990c616d8b","epi_8529e2ed28","2025-03-22T17:37:48","1882"
"pause","usr_27853bd7f3","epi_ad0822ed24","2025-01-14T00:02:16",""
"pause","usr_124466d6c6","epi_eba8852bb1","2025-06-03T09:34:51",""
"complete","usr_89e3ea025b","epi_93c1db10e7","2025-11-11T02:35:30","1609"
"seek","usr_cac517176f","epi_20c2e619aa","2026-02-04T10:37:09",""
"seek","usr_f561a5932d","epi_f2bd927f27","2025-11-17T06:48:03",""
"pause","usr_4cc806c493","epi_5a58e1e286","2025-12-23T11:47:02",""
"pause","usr_a947db40fa","epi_f955dbf049","2025-07-08T03:10:22",""
"complete","usr_48695b2f26","epi_dd80165b34","2025-09-05T03:14:50","1421"
"complete","usr_92748b5cc8","epi_be5f337284","2025-11-12T18:32:23","21982"
